FacultyName,CourseName,CourseDivision,Level,CourseDescription,Bonus Information
"Sebastian, Neeraj",Drawing Intensive / Developing a Studio Practice,ADS,Intermediate/Advanced,"In the first part of this course, drawing will be used to experiment, interrogate and expand different aspects of one’s artistic practice. Using a broad range of materials, students are encouraged to work intuitively and take multiple approaches to presenting ideas–especially ideas that may not have been explored previously in their work–and develop them in different ways. Students will create large quantities of drawings based on prompts that will then be discussed with the class. What stands out? What makes a piece surprising or interesting? What revisions can be made to strengthen these moments or motifs? These are kinds of questions that will inform our discussions.

Taken together, these drawings will offer a broad range of possibilities that will then be explored for the rest of the term, during which students will develop a body of work. Students will meet weekly as a group to discuss work made or advanced in the previous week and meet individually with the instructor every other week to discuss materials and other aspects of their art practices. The work made over the course of the term should include material investigation (why are you using the materials you’re using and how does it support your thematic interests?) and embody a range of conceptual concerns. Throughout the term, students will be introduced to several artists’ working methods. Students are expected to work independently and have some degree of familiarity with the materials they choose to work with.

“Drawing” is used broadly here: students working in any medium are encouraged to take this course (for example, a student interested in three-dimensional work might respond to the prompts with forms made from cardboard or other found materials). This course is designed to kickstart a nascent practice or one that might have become dormant or plateaued as well as give students room to experiment and then build on these experiments. Students enrolling in this class should have some form of previous studio experience.   Evaluation will be based on students’ work, participation in class discussions, the ability to offer critical and constructive feedback to one’s peers, and the ability to push oneself beyond one’s comfort zone or perceived limitations—especially when it comes to allowing the work to evolve and change in response to feedback and critique. 

Level: Intermediate/Advanced. Prerequisites: At least one ADS course.  Class limit: 8.  Lab fee: $100.  Meets the following degree requirements: ADS.",
"Slabach, Brittany",Ecology: Natural History,ES,Introductory/Intermediate,"In this course we explore the different terrestrial habitats that occur on Mount Desert Island (MDI). We practice taking observations and investigating these habitats using different field ecology techniques. Therefore, a vast majority of classes are spent outside in the elements. We discuss what our observations—and data—can teach us about the natural history of landscapes and their inhabitants. We partner our adventures with readings on different foundational ecological concepts. We discuss the complexities of these concepts, their applications, and limitations based on our own observations and experiences. Students are expected to keep a field notebook of their observations, and are required to submit weekly reflections in a field journal. Students also explore topics through essays and/or other activities. Class meets for two sessions per week. 
The course is open to anyone interested in gaining skills in ecology and natural history, or those interested in learning more about the habitats of MDI. The course is designed to provide foundational skills in natural history observations and other field sampling techniques. This course is a partner course to Intertidal Ecology, meaning we explore the same topics just in different environments. Therefore, students may enroll in either Ecology: Natural History or Intertidal Ecology, but not both. A joint session of the courses is held at the end of the term. 

Level: Introductory. Prerequisites: None. Class limit: 18. Lab fee: None. Meets the following degree requirements: ES.",
"Buchanan, Rebecca","Education, the Media, and Society: Introductory",HS,Introductory,"This course examines the dynamic relationships among education, media, learning, and digital technologies. Using a critical media literacy framework, students will analyze how schools, teachers, and young people are represented across media forms and consider how these representations shape public perceptions and interactions with education and schools.
We will explore key theories of critical media literacy and apply discourse and visual analysis to investigate how market forces, historical contexts, and political ideologies influence portrayals of education. The course also considers how these same forces shape the organization and experience of learning itself.
Particular attention will be given to the evolving role of technology in education, including the impact of smartphones, social media, and generative artificial intelligence. Students will examine how schools function both as sites of learning and as focal points of broader social, cultural, economic, and political debates that are reflected and amplified through media.
Students will keep a media literacy diary throughout the term, adding entries each week that apply critical discourse analysis to media they encounter in their lives. As a final course project, students will select a topic to investigate how it is represented in the media using a systematic discourse analysis approach. Through engagement with contemporary media examples, students will develop the skills to critically interpret and create media, becoming more thoughtful consumers and producers in a complex and rapidly changing media landscape.

Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",
"Gibson, David",Endgame Decarbonization,,Introductory/Intermediate,"Recent reports say we need to cut global carbon emissions in half by 2030 and eliminate carbon emissions by 2050 or sooner. How can we electrify climate solutions to meet these urgent targets? What steps are needed to eliminate fossil fuel consumption, and how quickly can we implement them? To maintain the habitability of the planet, we have no choice but to win the carbon endgame. This course will discuss the technical requirements of the clean energy transition, including beneficial electrification, energy efficiency and renewable energy, but the emphasis will be on societal shifts needed to accelerate economy-wide decarbonization. Students will examine how fossil fuel corporations have lied about their impacts on the climate for decades, and how that has influenced policies and funding programs. This course will focus on readings, reflection and discussion. Topics covered will include the social, environmental, and economic impacts of fossil fuels versus renewable energy. Students will examine the role of diverse economic sectors including real estate, finance, and education in this transition. Students will explore the facets of transitioning an entire town or neighborhood away from fossil fuels, and the benefits or challenges associated with planning and implementing projects at a larger scale than an individual home. How can we completely transition off fossil fuels within a generation? Students who successfully complete this course will be able to identify the steps to transition a building off fossil fuels, and have a conversational understanding of how various economic sectors are critical to support the global clean energy transition. This course will provide students with the tools and experience to reduce community energy use and greenhouse gas emissions in a holistic manner. Evaluation will be based on participation in class discussions, completion of 3-4 written assignments including reflection papers, and 1-2 class presentations.

Level: Introductory/Intermediate. Prerequisites: None. Class limit: 15. Lab fee: $30. Meets the following degree requirements: None.",
"Cox, Gray",Engaging Mindfully with AI: A Human Ecological Approach,HS,,"As individuals and communities, we face rapidly escalating temptations and pressures to embrace the use of increasingly diverse, hybrid, powerful systems of artificial intelligence in every aspect of our lives. These systems seem to both promise to make virtually everything dramatically better in almost unimaginable ways while, at the same time, also threatening to completely disrupt, replace, or destroy almost everything that is familiar and cherished. What are collaborative ways in which we can learn to make wise use of these possibilities and cope with these challenges? What skills and resources can we acquire to understand, use, and control these systems in our personal lives and our communities? What methods and alliances can we develop to limit, reduce, or completely eliminate the interventions and impacts of AI in our personal lives, communities, and ecosystems?

This is a collaborative learning course in which we will study emerging best practices for dealing with these issues. Readings will include applied materials on working with AI, mindfulness, collaborative skills, and meta-cognition as well as theoretical and philosophical analyses of emerging AI technologies and the opportunities and threats they may pose in ongoing social changes. With visiting speakers, trainings, and seminar discussions we will, as a class, explore and critically examine emerging consensuses on best uses in mindful learning, writing, and collaboration. 

Materials may include, for instance: 1.) films, blog posts, podcasts, articles, and books  on philosophical frameworks and best practices for using AI and related technologies in social entrepreneurship (Ethan Mollick’s Co-Intelligence: Living and Working with AI), research and writing (Kate Meyer’s Eduprotocols), community building and activism (Sasha Constanza-Chock’s Design Justice: Community-Led Practices to Build the Worlds We Need), mindfulness practices in technological contexts for personal growth (Deepak Chopra’s Digital Dharma), collaborative work in technological contexts (Howard Rheingold’s Netsmart: How to Thrive Online); and 3.) philosophical, historical and social science investigations of the opportunities and threats AI technologies are presenting (Max Tegmark’s Life 3.0, and writings of Thich Nhat Hanh, David Loy, Elise Boulding).   
 
Homework and labs will normally combine research, experiential, and reflective writing components that, from week to week, balance personal and interpersonal exercises done with and without AI tools. These will be designed to help students apply and critically analyze class readings and at the same time, through the course of the term, successively develop the key materials and textual components for their final group projects in an integrated way. 

In a series of short homework assignments, students will research and analyze key elements for wise practices using—and not using—artificial intelligence to advance personal goals as well as shared visions of well-being for communities and societies. To help synthesize this learning, each student will also collaborate in a small group to draft a handbook/manifesto that proposes ways to integrate best personal and collaborative practices in some context of special interest such as a school, research institute, small business, activist organization, or spiritual community.

Evaluation will be based on the extent to which class participation and written work demonstrate progress on the goals of developing abilities: 1.) to learn how to learn about how human/AI systems work, 2.) To learn how to cope personally with them in ways students find meaningful, productive, and personally enhancing, and 3.) to learn how to articulate and advocate for methods of responding to them which offer communities resilient ways to navigate the disruptions AI technologies are introducing.

Level: Introductory-Advanced. Prerequisites: None. Class limit: 15.  Lab fee: $25.  Meets the following degree requirements: HS.",
"McKown, Jamie","Equal Rights, Equal Voices: Articulating Suffrage",HS HY,Introductory,"This seminar will provide an in-depth exploration of public speech texts by a wide array of 19th century woman suffrage activists in the United States. This includes works by those individuals most often associated with the first wave of the movement including: Susan B. Anthony, Elizabeth Cady Stanton, Sojourner Truth, Frances Ellen Watkins Harper, Ernestine Rose, Anna Dickinson, Lucretia Mott,  Victoria Woodhull, as well as other activists who are generally less well known today. While this is a course rooted in the history of what we might consider early American feminism, it should come as no surprise that, along the way, we will confront issues that continue to have salience today.  Many of the topics surrounding gender, sex, identity, equality, empowerment, and political allyship that these activists wrestled with are still just as relevant for us to consider in our contemporary context.  This is especially true when it comes to the topic of race and the intersectional nature of the discourse around gender equality, both then and now. We will spend time examining how the idea of race was rhetorically constituted, in both exclusionary and inclusionary ways, within these texts.  We will also look specifically at the works of early Black feminists in the United States, and the myriad of ways they  navigated the challenges of the moment, especially as they confronted a deeply embedded legacy of white supremacy within the early woman suffrage movement.   Rather than rely primarily on secondary historical accounts, there will be a heavy emphasis on the close reading of primary source materials, mostly speeches, as we encounter these speakers “in their own words.” In addition, students will also take part in “hands on” recovery projects designed to locate, transcribe, document, and make broadly accessible works  from the period that have been previously undocumented or left unaccounted for. In doing so, students will learn basic techniques for exploring and making effective use of various types of digitized historical collections that have emerged in recent years. Class sessions will be organized as a discussed based seminar.  Assignments will emphasize critical, reflective, and analytical writing. Evaluation will be based on participation in class discussion, short written response papers, two longer form take-home essays, individual presentations, and a final “recovery” project. Students interested in topics related to gender, politics, historical research, and activism are especially encouraged to enroll. This is an introductory class and open to all students regardless of whether they have a previous background in feminism, social theory, US history, or politics.

Level: Introductory.  Prerequisites: none.  Class limit: 12.  Lab fee: none.  Meets the following degree requirements: HS, HY",
"Kim, June",Fine Art Photography,ADS,Intermediate/Advanced,"This course is designed to provide students opportunities to build on their technical and conceptual skills of photography created in accordance with the creative vision of the photographer. There will be a focus on photographic image-making within a fine art context in conjunction with development of heightened awareness and concepts in relation to personal perspective. Each class will include discussion of reading assignments, in-class shooting assignments, looking at contemporary artists and their photographic practices. Art concepts, ideas, and critiques of ongoing student work will occur weekly. In addition, there will be an individual meeting with the instructor at midterm aimed to solidify each student’s work. Students will be evaluated based on the completion of a series of assignments, the development of a self-chosen body of work, participation in class discussions/critiques and class attendance.

Level: Intermediate/Advanced Prerequisites: Introduction to Photography or some photography experience/knowledge. Class limit: 12. Lab fee: $110. Meets the following degree requirements: ADS.",
"Sullivan , Leeann",Food Sovereignty,HS,Introductory,"In his 1893 text The Conquest of Bread, Russian Geographer Petr Kropotkin exclaimed “It is bread that the revolution needs!”. Kropotkin was not drafting a radical shopping list but rather offering a commentary on the relationship between our agency over the food we eat and our ability to sustain social movements. The production, distribution, and consumption of food has always been at the center of our social bonds, but today, our global food systems are controlled by a small number of private corporations who dictate what we eat, how we eat, and who we eat with. This system is not only corrosive to our democratic politics, it is also poisoning our bodies and ecosystems. While the severity of these challenges cannot be understated, neither can the resistance movement against it. From India’s independence movement to landless peasant organizing in the Americas, from guerilla gardening in urban Detroit to Maine’s local food movement, people across the globe continue to demand more autonomy over what they consume and how. This movement is rooted in the idea of food sovereignty—or the right to healthy, culturally appropriate foods and access to the necessary conditions (land, political power, knowledge) that get us there. 
In this course, we will explore the shifting landscape of food from a common resource to a private one and back again, focusing in particular on how changing food systems become sites of political agency and resistance. Using social ecology as a lens, students will come to link global movements for food sovereignty over time and space back to the unfolding politics of food sovereignty in our own community as we consider what it would mean—and potentially work together in real time—to enact a food sovereignty ordinance in Bar Harbor.  This seminar-style course will be highly participatory. Students will be evaluated through a combination of self-assessment, written assignments, and in-person engagement and evidence of intellectual growth and application of themes both in and outside of the classroom. 

Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: None. Meets the following degree requirements: HS.",
"Mahoney, Daniel",Forms of Poetry,HS,Introductory/Intermediate,"This class is a study of, and a writing workshop in, poetic forms.  We will look at constraints, techniques, and directions of contemporary poetry through intensive reading, writing, and criticism of our own poetic work.  This background is useful and significant for the study of poetry at any level, and is especially helpful in light of the fact that, for better or worse, free verse techniques have dominated poetry in the twentieth century.  This course is valuable for practiced poets, emerging poets, and prose writers alike. Forms of Poetry asks students to pay attention, create poetry of attention, and revel in poetry that is attentive to language; this process will help students develop voice and lyrical content in their own writing. We will look older, “received forms” (Sonnet, Ghazal, Villanelle) and create our own forms by using experimental techniques (homophonic translation, concrete poetry, erasure, nonsense words (i.e. Jabberwocky)) and look to end the term with the amazing Japanese form, Zuihitsu. You might be thinking: Why write with these crazy constraints or in these old timey poetic forms? And what the heck is a Zuihitsu? Those are good questions, questions we will address on a weekly basis.  Over the last seventy years, the debates over poetic expression have been shaped in visceral ways, from “raw” versus “cooked,” “academic” versus “beat,” “formal” versus “antiformal.”  This class is designed to deepen your knowledge of these debates and to inspire you to draw upon a variety of modes in your own writing.  Evaluations:  Students will be expected to contribute to a class blog, write several poems a week, revise poetic output, participate in class workshop, and hand sew a chapbook of their own revised, creative work. 

Level: Introductory/Intermediate.  Prerequisites: none.  Class limit: 12.  Lab fee: none.  Meets the following degree requirements: HS",
"Hill, Kenneth",Forty Studies that Changed Psychology,HS,Introductory,"This course surveys forty of the most influential research studies in psychology. Within this course, students will explore foundational experiments spanning the spectrum of psychological science. As a result of this class, students should be able to identify and explain key findings that have shaped the discipline. Students will be afforded the ability to analyze research methods, examine the ethical dimensions, and connect classic findings to modern psychological theory, practice, and ongoing research.

This course will be based on Hock’s pivotal text: Forty Studies That Changed Psychology: Explorations into the History of Psychological Research (Global Edition). This text has recently been updated to include more current and global research findings and is widely used as the standard in the field. Topics covered include: Brain, Biology, and Behavior; Sensation, Perception, and Consciousness; Learning and Conditioning; Cognition, Intelligence, and Memory; Developmental Psychology; Foundations of Social Psychology; Personality; and Psychopathology and Treatment. Through reading, discussion, and applied analysis, students will develop an appreciation for how landmark research has shaped the understanding of human thought, emotion, and behavior. Students will demonstrate their learning through written and oral reflections, class presentations, and developing a proposal for a hypothetical research project, including having every student develop a project to meet COA’s EERB standards.

Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",
"Sebastian, Neeraj",Fundamentals of Painting,ADS,Introductory,"In this course, students will be introduced to the basic aspects involved in the process of translating what they are observing in space onto two-dimensional surfaces in oil paint. Students will be introduced to the basics of color theory, mixing and matching colors, and also explore how color can change depending on context. Through the assignments we will investigate how form, volume, space and light can be captured in paint. Students will learn how to build their own frames and stretch and prepare canvases for painting and develop a studio practice, which includes cleaning and maintenance of brushes, the palette and other tools. A broad range of ideas and concerns in painting throughout history, from various parts of the world will be introduced in the class. In the last part of the term, different aspects of composition will be discussed: the way colors and shapes can work together to create an integrated image. Assignments will include quick paintings as well as paintings that are made over the course of multiple class sessions. The assignments over the course of the term will build students’ confidence in translating what’s in front of them, which makes the task of taking on the images in their heads, the images they are interested in, less daunting.
Students will learn how to look at and analyze their peers’ work and provide them with constructive feedback during critiques. Previous drawing experience at high school or college level is strongly recommended. Evaluation will be based on how the specific criteria set for each assignment are met, participation and engagement during critiques, and receptivity to feedback.

Level: Introductory. Prerequisite: None, but previous drawing experience at high school or college level is strongly recommended. Class limit: 12. Lab fee: $125. Meets the following degree requirements: ADS.",
